YSKX3,Tidying up a blanket/s,129,277
T5ECU,Holding a vacuum,7,215
T5ECU,Watching/Looking outside of a window,0,452
T5ECU,Someone is smiling,84,743
T5ECU,Someone is standing up from somewhere,76,200
T5ECU,Sitting in a chair,0,767
T5ECU,Holding a dish,0,767
T5ECU,Someone is going from standing to sitting,0,99
T5ECU,Drinking from a cup/glass/bottle,12,179
T5ECU,Drinking from a cup/glass/bottle,172,318
T5ECU,Drinking from a cup/glass/bottle,324,486
T5ECU,Someone is laughing,129,767
T5ECU,Taking a vacuum from somewhere,7,145
T5ECU,Someone is running somewhere,110,212
T5ECU,Holding a cup/glass/bottle of something,0,767
AAH6R,Someone is going from standing to sitting,72,111
AAH6R,Someone is dressing,0,111
AAH6R,Watching something/someone/themselves in a mirror,0,111
AAH6R,Someone is undressing,0,111
015XE,Holding a phone/camera,0,769
015XE,Taking a picture of something,14,769
015XE,Playing with a phone/camera,0,769
015XE,Someone is standing up from somewhere,0,762
TJZ0P,Holding a sandwich,206,330
TJZ0P,Putting a book somewhere,165,284
TJZ0P,Sitting in a chair,0,455
TJZ0P,Eating a sandwich,184,375
TJZ0P,Putting a sandwich somewhere,283,452
TJZ0P,Holding a book,0,282
TJZ0P,Someone is sneezing,67,248
TJZ0P,Sitting at a table,0,455
TJZ0P,Someone is holding a paper/notebook,0,282
TJZ0P,Taking paper/notebook from somewhere,0,104
TJZ0P,Someone is eating something,244,455
TJZ0P,Taking food from somewhere,204,339
TJZ0P,Taking a sandwich from somewhere,201,342
TJZ0P,Closing a book,160,275
TJZ0P,Opening a book,26,167
TJZ0P,Watching/Reading/Looking at a book,12,291
TJZ0P,Holding some food,220,428
TJZ0P,Putting some food somewhere,314,431
TJZ0P,Taking a book from somewhere,0,99
TJZ0P,Putting something on a table,184,287
TJZ0P,Putting something on a shelf,148,275
TJZ0P,Working on paper/notebook,7,279
TJZ0P,Putting their paper/notebook somewhere,160,272
B82GJ,Holding a towel/s,439,599
B82GJ,Taking a towel/s from somewhere,424,539
B82GJ,Someone is cooking something,0,476
B82GJ,Someone is sneezing,439,599
A1BS2,Washing something with a towel,21,155
A1BS2,Opening a closet/cabinet,336,446
A1BS2,Watching something/someone/themselves in a mirror,0,431
A1BS2,Watching something/someone/themselves in a mirror,295,423
